centos-s-1vcpu-512mb-10gb-nyc1-01;-1;2022-08-20 21:07:11;LINUX-RESTART
# hostname;interval;timestamp;CPU;%usr;%nice;%sys;%iowait;%steal;%irq;%soft;%guest;%gnice;%idle[...];proc/s;cswch/s;pswpin/s;pswpout/s;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff;tps;rtps;wtps;bread/s;bwrtn/s;frmpg/s;bufpg/s;campg/s;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;kbswpfree;kbswpused;%swpused;kbswpcad;%swpcad;kbhugfree;kbhugused;%hugused;dentunusd;file-nr;inode-nr;pty-nr;runq-sz;plist-sz;ldavg-1;ldavg-5;ldavg-15;blocked;TTY;rcvin/s;txmtin/s;framerr/s;prtyerr/s;brk/s;ovrun/s[...];DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util[...];IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s[...];IFACE;rxerr/s;txerr/s;coll/s;rxdrop/s;txdrop/s;txcarr/s;rxfram/s;rxfifo/s;txfifo/s[...];call/s;retrans/s;read/s;write/s;access/s;getatt/s;scall/s;badcall/s;packet/s;udp/s;tcp/s;hit/s;miss/s;sread/s;swrite/s;saccess/s;sgetatt/s;totsck;tcpsck;udpsck;rawsck;ip-frag;tcp-tw
centos-s-1vcpu-512mb-10gb-nyc1-01;120;2022-08-20 21:12:01;-1;0.03;0.00;0.08;0.00;0.02;0.00;0.00;0.00;0.00;99.87;0;0.03;0.00;0.08;0.00;0.02;0.00;0.00;0.00;0.00;99.87;0.08;68.31;0.00;0.00;0.33;2.57;33.63;0.01;10.99;0.00;0.00;0.00;0.00;0.30;0.04;0.26;0.67;5.13;-1.02;0.00;0.16;70460;428108;85.87;2060;297648;340736;68.34;206696;128644;12;0;0;0.00;0;0.00;0;0;0.00;12836;1024;21205;1;1;110;0.00;0.06;0.05;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;dev253-0;0.30;0.67;5.13;19.25;0.03;100.11;19.64;0.59;dev253-16;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;eth0;0.73;0.54;0.05;0.09;0.00;0.00;0.00;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;176;4;3;1;0;0
centos-s-1vcpu-512mb-10gb-nyc1-01;119;2022-08-20 21:14:01;-1;0.03;0.00;0.03;0.00;0.02;0.00;0.00;0.00;0.00;99.92;0;0.03;0.00;0.03;0.00;0.02;0.00;0.00;0.00;0.00;99.92;0.05;49.00;0.00;0.00;0.00;1.35;25.50;0.00;8.99;0.00;0.00;0.00;0.00;0.18;0.00;0.18;0.00;2.70;-0.23;0.00;0.02;70352;428216;85.89;2060;297656;340736;68.34;206928;128456;0;0;0;0.00;0;0.00;0;0;0.00;12842;992;21189;1;1;110;0.00;0.04;0.05;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;dev253-0;0.18;0.00;2.70;15.38;0.04;210.24;52.52;0.92;dev253-16;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;eth0;0.42;0.32;0.03;0.02;0.00;0.00;0.00;eth1;0.01;0.00;0.00;0.00;0.00;0.00;0.00;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;176;4;3;1;0;0
centos-s-1vcpu-512mb-10gb-nyc1-01;120;2022-08-20 21:16:01;-1;0.05;0.00;0.08;0.15;0.03;0.00;0.00;0.00;0.00;99.70;0;0.05;0.00;0.08;0.15;0.03;0.00;0.00;0.00;0.00;99.70;0.21;54.61;0.00;0.00;13.95;4.56;77.95;0.09;29.04;0.00;0.00;0.00;0.00;0.86;0.54;0.32;27.90;9.13;-4.67;0.00;3.27;68112;430456;86.34;2060;299224;341360;68.47;207968;129240;0;0;0;0.00;0;0.00;0;0;0.00;13004;1024;21296;1;1;111;0.00;0.03;0.05;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;dev253-0;0.86;27.90;9.13;43.09;0.16;186.88;19.31;1.66;dev253-16;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;eth0;2.91;2.15;0.25;0.41;0.00;0.00;0.00;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;176;4;3;1;0;0
centos-s-1vcpu-512mb-10gb-nyc1-01;120;2022-08-20 21:18:01;-1;0.05;0.00;0.05;0.00;0.01;0.00;0.00;0.00;0.00;99.89;0;0.05;0.00;0.05;0.00;0.01;0.00;0.00;0.00;0.00;99.89;0.21;41.78;0.00;0.00;0.00;1.82;80.44;0.00;29.94;0.00;0.00;0.00;0.00;0.23;0.00;0.23;0.00;3.63;0.25;0.00;0.01;68232;430336;86.31;2060;299228;341360;68.47;208764;128480;4;0;0;0.00;0;0.00;0;0;0.00;13013;1024;21296;1;1;111;0.00;0.02;0.05;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;dev253-0;0.23;0.00;3.63;16.11;0.07;293.15;34.78;0.78;dev253-16;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;eth0;1.00;0.72;0.08;0.12;0.00;0.00;0.00;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;176;4;3;1;0;0
centos-s-1vcpu-512mb-10gb-nyc1-01;120;2022-08-20 21:20:01;-1;0.08;0.00;0.08;0.03;0.03;0.00;0.00;0.00;0.00;99.78;0;0.08;0.00;0.08;0.03;0.03;0.00;0.00;0.00;0.00;99.78;0.24;51.33;0.00;0.00;0.30;0.97;90.85;0.01;35.19;0.00;0.00;0.00;0.00;0.16;0.03;0.13;0.60;1.93;1.83;0.00;0.12;69112;429456;86.14;2060;299284;340064;68.21;208420;128196;16;0;0;0.00;0;0.00;0;0;0.00;13024;992;21296;1;2;109;0.00;0.01;0.05;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;dev253-0;0.16;0.60;1.93;16.00;0.01;56.79;16.68;0.26;dev253-16;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;eth0;3.33;2.40;0.27;0.57;0.00;0.00;0.00;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;176;4;3;1;0;0
centos-s-1vcpu-512mb-10gb-nyc1-01;120;2022-08-20 21:22:01;-1;0.09;0.00;0.12;0.07;0.02;0.00;0.00;0.00;0.00;99.71;0;0.09;0.00;0.12;0.07;0.02;0.00;0.00;0.00;0.00;99.71;0.24;68.35;0.00;0.00;1.87;1.66;99.92;0.01;41.31;0.00;0.00;0.00;0.00;0.38;0.18;0.20;3.74;3.32;-0.60;0.00;0.51;68824;429744;86.20;2060;299528;340064;68.21;208576;128268;0;0;0;0.00;0;0.00;0;0;0.00;13034;992;21300;1;1;109;0.00;0.01;0.05;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;dev253-0;0.38;3.74;3.32;18.39;0.03;67.89;15.85;0.61;dev253-16;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;eth0;6.71;4.75;0.57;0.67;0.00;0.00;0.00;eth1;0.01;0.00;0.00;0.00;0.00;0.00;0.00;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;eth0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;176;4;3;1;0;0
centos-s-1vcpu-512mb-10gb-nyc1-01;-1;2022-08-20 21:28:09;LINUX-RESTART
# hostname;interval;timestamp;CPU;%usr;%nice;%sys;%iowait;%steal;%irq;%soft;%guest;%gnice;%idle[...];proc/s;cswch/s;pswpin/s;pswpout/s;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff;tps;rtps;wtps;bread/s;bwrtn/s;frmpg/s;bufpg/s;campg/s;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;kbswpfree;kbswpused;%swpused;kbswpcad;%swpcad;kbhugfree;kbhugused;%hugused;dentunusd;file-nr;inode-nr;pty-nr;runq-sz;plist-sz;ldavg-1;ldavg-5;ldavg-15;blocked;TTY;rcvin/s;txmtin/s;framerr/s;prtyerr/s;brk/s;ovrun/s[...];DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util[...];IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s[...];IFACE;rxerr/s;txerr/s;coll/s;rxdrop/s;txdrop/s;txcarr/s;rxfram/s;rxfifo/s;txfifo/s[...];call/s;retrans/s;read/s;write/s;access/s;getatt/s;scall/s;badcall/s;packet/s;udp/s;tcp/s;hit/s;miss/s;sread/s;swrite/s;saccess/s;sgetatt/s;totsck;tcpsck;udpsck;rawsck;ip-frag;tcp-tw
